Order_ID,Order_Date,Customer_ID,Age_Group,Region,Acquisition_Channel,Device_Type,Category,Product_Name,Unit_Price,Quantity,Discount_Pct,Discount_Amount,Total_Before_Discount,Total_After_Discount,Payment_Method,Delivery_Days,Is_Returned,Return_Reason,Rating
ORD10000,2023-04-25,CUST00090,36-45,Central,Organic Search,Tablet,Beauty,Face Cream,232.51,3,5,34.88,697.53,662.65,Debit Card,3,No,,3.2
ORD10001,2023-01-04,CUST00349,26-35,West,Organic Search,Desktop,Beauty,Serum,1490.75,4,10,596.3,5963.0,5366.7,UPI,3,No,,2.5
ORD10002,2023-07-13,CUST00883,26-35,East,Organic Search,Mobile,Sports,Dumbbells,4189.94,4,0,0.0,16759.76,16759.76,Credit Card,2,No,,4.5
ORD10003,2023-07-09,CUST00274,36-45,Central,Direct,Mobile,Books,Textbook,1125.46,3,0,0.0,3376.38,3376.38,Debit Card,6,No,,3.0
ORD10004,2023-12-17,CUST00033,46-55,Central,Direct,Desktop,Books,Comic,180.98,5,5,45.24,904.9,859.66,Debit Card,6,No,,4.1
ORD10005,2023-05-16,CUST00575,26-35,East,Paid Ads,Mobile,Beauty,Lipstick,595.63,4,0,0.0,2382.52,2382.52,COD,3,No,,3.4
ORD10006,2023-11-18,CUST00391,36-45,North,Direct,Tablet,Books,Fiction Novel,490.1,1,0,0.0,490.1,490.1,Credit Card,3,No,,3.7
ORD10007,2023-05-31,CUST00004,55+,South,Referral,Mobile,Beauty,Serum,2352.28,3,0,0.0,7056.84,7056.84,Wallet,7,No,,4.1
ORD10008,2023-03-24,CUST00614,26-35,East,Paid Ads,Mobile,Home & Kitchen,Cookware Set,,2,15,1454.8,9698.68,8243.88,Debit Card,9,No,,5.0
ORD10009,2023-09-30,CUST00487,55+,South,Referral,Tablet,Sports,Yoga Mat,671.31,4,0,0.0,2685.24,2685.24,Wallet,3,No,,3.2
ORD10010,2023-09-22,CUST00603,36-45,South,Organic Search,Mobile,Clothing,Saree,3672.74,-3,25,2754.55,11018.22,8263.67,UPI,8,No,,4.1
ORD10011,2023-10-04,CUST00904,36-45,South,Organic Search,Mobile,Electronics,Tablet,21900.23,4,5,4380.05,87600.92,83220.87,Wallet,3,No,,4.7
ORD10012,2023-12-11,CUST00197,18-25,South,Organic Search,Desktop,Books,Textbook,1077.73,4,0,0.0,4310.92,4310.92,COD,2,Yes,Not as Described,4.1
ORD10013,2023-02-17,CUST00498,26-35,North,Email,Desktop,Electronics,Smartphone,35390.09,5,0,0.0,176950.45,176950.45,Net Banking,4,No,,3.6
ORD10014,2023-03-21,CUST00556,18-25,Central,Paid Ads,Mobile,Home & Kitchen,Curtains,3029.09,5,25,3786.36,15145.45,11359.09,COD,4,No,,5.0
ORD10015,2023-07-26,CUST00584,26-35,Central,Referral,Tablet,Electronics,Laptop,36166.92,1,5,1808.35,36166.92,34358.57,UPI,2,No,,3.8
ORD10016,2023-05-16,CUST00952,36-45,North,Organic Search,Tablet,Home & Kitchen,Mixer Grinder,6018.36,3,5,902.75,18055.08,17152.33,Debit Card,7,No,,3.5
ORD10017,2023-05-06,CUST00449,46-55,Central,Organic Search,Tablet,Sports,Dumbbells,1356.32,3,0,0.0,4068.96,4068.96,COD,6,No,,3.3
ORD10018,2023-03-01,CUST00216,36-45,West,Social Media,Mobile,Home & Kitchen,Air Fryer,11450.37,2,10,2290.07,22900.74,20610.67,Credit Card,2,No,,4.4
ORD10019,2023-06-20,CUST00269,18-25,North,Organic Search,Tablet,Beauty,Lipstick,1029.35,1,0,0.0,1029.35,1029.35,Debit Card,3,No,,4.5
ORD10020,2023-08-09,CUST00882,18-25,East,Referral,Desktop,Sports,Yoga Mat,2169.19,5,0,0.0,10845.95,10845.95,COD,3,Yes,Not as Described,5.0
ORD10021,2023-04-01,CUST00802,55+,East,Paid Ads,Tablet,Beauty,Shampoo,751.75,2,0,0.0,1503.5,1503.5,Credit Card,7,Yes,Not as Described,3.2
ORD10022,2023-08-24,CUST00025,36-45,East,Social Media,Tablet,Books,Fiction Novel,536.37,2,5,53.64,1072.74,1019.1,COD,6,No,,4.2
ORD10023,2023-05-14,CUST00272,18-25,West,Referral,Tablet,Books,Biography,432.13,1,0,0.0,432.13,432.13,Credit Card,3,No,,3.4
ORD10024,2023-01-01,CUST00760,36-45,East,Referral,Desktop,Books,Biography,354.54,1,20,70.91,354.54,283.63,Wallet,9,No,,2.8
ORD10025,2023-12-08,CUST00714,26-35,South,Referral,Tablet,Toys,LEGO Set,4598.77,3,10,1379.63,13796.31,12416.68,UPI,7,No,,3.7
ORD10026,2023-04-18,CUST00453,26-35,South,Direct,Mobile,Books,Biography,708.55,3,10,212.56,2125.65,1913.09,UPI,7,No,,3.4
ORD10027,2023-04-26,CUST00048,26-35,West,Direct,Tablet,Sports,Badminton Set,1404.45,2,10,280.89,2808.9,2528.01,Debit Card,4,No,,3.6
ORD10028,2023-12-02,CUST00798,26-35,North,Referral,Mobile,Beauty,Lipstick,694.38,2,0,0.0,1388.76,1388.76,Credit Card,1,No,,5.0
ORD10029,2023-08-15,CUST00914,26-35,West,Email,Desktop,Books,Self Help,600.71,5,15,450.53,3003.55,2553.02,Debit Card,10,No,,2.7
ORD10030,2023-11-17,CUST00279,26-35,West,Direct,Mobile,Toys,Remote Car,3250.6,5,25,4063.25,16253.0,12189.75,Wallet,4,No,,4.6
ORD10031,2023-08-01,CUST00431,26-35,Central,Email,Desktop,Clothing,T-Shirt,739.33,3,25,554.5,2217.99,1663.49,Credit Card,1,No,,9.5
ORD10032,2023-09-07,CUST00685,36-45,South,Referral,Tablet,Home & Kitchen,Bedsheet,2383.69,4,5,476.74,9534.76,9058.02,Credit Card,4,No,,3.2
ORD10033,2023-11-26,CUST00473,18-25,East,Email,Desktop,Books,Biography,560.42,1,0,0.0,560.42,560.42,Net Banking,7,No,,4.1
ORD10034,2023-06-29,CUST00773,18-25,South,Paid Ads,Desktop,Home & Kitchen,Air Fryer,7232.76,5,0,0.0,36163.8,36163.8,Wallet,4,No,,4.2
ORD10035,2023-07-08,CUST00987,36-45,North,Referral,Mobile,Electronics,Tablet,57387.85,4,10,22955.14,229551.4,206596.26,UPI,3,No,,2.9
ORD10036,2023-10-31,CUST00124,36-45,East,Organic Search,Tablet,Sports,Cycle,14916.36,2,0,0.0,29832.72,29832.72,Wallet,4,Yes,Not as Described,4.6
ORD10037,2023-08-10,CUST00849,26-35,East,Referral,Tablet,Home & Kitchen,Air Fryer,10646.18,4,0,0.0,42584.72,42584.72,Net Banking,6,No,,3.1
ORD10038,2023-06-15,CUST00250,36-45,West,Social Media,Mobile,Books,Comic,347.72,5,10,173.86,1738.6,1564.74,Net Banking,4,No,,5.0
ORD10039,2023-11-02,CUST00530,55+,South,Direct,Desktop,Clothing,Saree,6544.39,3,10,1963.32,19633.17,17669.85,Wallet,5,No,,4.9
ORD10040,2023-05-31,CUST00378,26-35,East,Social Media,Tablet,Beauty,Lipstick,648.17,1,0,0.0,648.17,648.17,Net Banking,4,No,,4.0
ORD10041,2023-06-11,CUST00974,36-45,Central,Referral,Tablet,Home & Kitchen,Bedsheet,1128.51,1,5,56.43,1128.51,1072.08,UPI,2,No,,5.0
ORD10042,2023-06-04,CUST00056,36-45,West,Organic Search,Mobile,Electronics,Laptop,56662.18,3,0,0.0,169986.54,169986.54,COD,1,No,,4.2
ORD10043,2023-01-27,CUST00490,18-25,North,Paid Ads,Mobile,Home & Kitchen,Curtains,2331.89,3,0,0.0,6995.67,6995.67,COD,5,No,,4.2
ORD10044,2023-11-07,CUST00462,46-55,Central,Referral,Mobile,Home & Kitchen,Air Fryer,11945.26,1,20,2389.05,11945.26,9556.21,COD,10,No,,4.1
ORD10045,2023-05-16,CUST00178,36-45,West,Social Media,Mobile,Beauty,Face Cream,1431.87,2,5,143.19,2863.74,2720.55,Debit Card,2,No,,5.0
ORD10046,2023-12-18,CUST00678,46-55,South,Social Media,Mobile,Home & Kitchen,Bedsheet,2257.47,4,0,0.0,9029.88,9029.88,Credit Card,4,No,,4.3
ORD10047,2023-08-13,CUST00312,36-45,North,Referral,Mobile,Electronics,Laptop,101336.57,5,10,50668.29,506682.85,456014.56,Net Banking,2,No,,2.9
ORD10048,2023-04-28,CUST00842,26-35,West,Social Media,Mobile,Beauty,Perfume,3216.71,1,0,0.0,3216.71,3216.71,COD,10,No,,5.0
ORD10049,2023-07-29,CUST00108,46-55,West,Referral,Mobile,Books,Comic,390.72,4,15,234.43,1562.88,1328.45,Net Banking,6,No,,4.2
ORD10050,2023-09-21,CUST00193,26-35,North,Paid Ads,Desktop,Electronics,Earbuds,1635.79,1,20,327.16,1635.79,1308.63,COD,1,No,,3.2
ORD10051,2023-01-15,CUST00727,18-25,North,Email,Mobile,Clothing,Saree,3954.44,4,0,0.0,15817.76,15817.76,Wallet,10,No,,3.8
ORD10052,2023-08-01,CUST00393,18-25,North,Social Media,Desktop,Toys,Board Game,1745.94,3,10,523.78,5237.82,4714.04,UPI,8,No,,4.0
ORD10053,2023-06-02,CUST00676,26-35,Central,Referral,Desktop,Toys,Puzzle,547.32,1,10,54.73,547.32,492.59,Net Banking,10,No,,5.0
ORD10054,2023-04-30,CUST00396,55+,North,Paid Ads,Tablet,Home & Kitchen,Mixer Grinder,7884.65,2,20,3153.86,15769.3,12615.44,COD,7,Yes,Changed Mind,3.6
ORD10055,2023-09-27,CUST00420,46-55,East,Social Media,Tablet,Home & Kitchen,Air Fryer,10867.71,4,0,0.0,43470.84,43470.84,Wallet,8,Yes,Wrong Item,2.6
ORD10056,2023-06-12,CUST00647,36-45,North,Direct,Tablet,Books,Fiction Novel,533.29,5,20,533.29,2666.45,2133.16,Credit Card,8,No,,4.3
ORD10057,2023-06-16,CUST00384,26-35,South,Paid Ads,Mobile,Books,Self Help,547.0,1,0,0.0,547.0,547.0,Credit Card,1,No,,4.1
ORD10058,2023-10-26,CUST00683,18-25,South,Organic Search,Desktop,Sports,Cycle,20492.76,2,25,10246.38,40985.52,30739.14,UPI,3,No,,3.4
ORD10059,2023-08-22,CUST00394,46-55,East,Direct,Desktop,Sports,Dumbbells,3483.54,4,10,1393.42,13934.16,12540.74,Credit Card,5,No,,3.3
ORD10060,2023-11-07,CUST00236,36-45,South,Direct,Mobile,Toys,Doll,766.62,5,0,0.0,3833.1,3833.1,Wallet,8,No,,5.0
ORD10061,2023-10-24,CUST00093,46-55,Central,Social Media,Tablet,Beauty,Face Cream,601.61,4,0,0.0,2406.44,2406.44,COD,6,No,,3.2
ORD10062,2023-06-23,CUST00232,46-55,Central,Social Media,Mobile,Home & Kitchen,Mixer Grinder,3541.82,4,10,1416.73,14167.28,12750.55,Net Banking,2,No,,5.0
ORD10063,2023-12-11,CUST00843,36-45,Central,Referral,Desktop,Electronics,Earbuds,2914.58,4,15,1748.75,11658.32,9909.57,COD,5,No,,4.6
ORD10064,2023-11-29,CUST00505,18-25,East,Direct,Tablet,Clothing,T-Shirt,1026.03,4,10,410.41,4104.12,3693.71,Wallet,7,Yes,Defective,4.6
ORD10065,2023-12-02,CUST00631,26-35,West,Email,Mobile,Sports,Cycle,19683.51,2,20,7873.4,39367.02,31493.62,UPI,2,No,,3.8
ORD10066,2023-07-23,CUST00466,18-25,North,Social Media,Mobile,Electronics,Earbuds,2950.1,3,0,0.0,8850.3,8850.3,Debit Card,5,No,,5.0
ORD10067,2023-10-28,CUST00239,26-35,South,Paid Ads,Tablet,Toys,Puzzle,466.77,5,5,116.69,2333.85,2217.16,UPI,4,No,,9.4
ORD10068,2023-01-08,CUST00179,26-35,North,Email,Desktop,Toys,Board Game,774.82,1,0,0.0,774.82,774.82,UPI,6,No,,4.1
ORD10069,2023-11-11,CUST00931,46-55,North,Email,Desktop,Sports,Badminton Set,861.73,5,5,215.43,4308.65,4093.22,Net Banking,1,No,,4.7
ORD10070,2023-02-11,CUST00649,36-45,East,Email,Tablet,Beauty,Face Cream,837.35,4,0,0.0,3349.4,3349.4,COD,6,No,,4.6
ORD10071,2023-08-09,CUST00424,26-35,West,Social Media,Tablet,Books,Fiction Novel,506.89,1,5,25.34,506.89,481.55,UPI,8,No,,4.3
ORD10072,2023-02-16,CUST00134,36-45,North,Email,Desktop,Home & Kitchen,Mixer Grinder,6120.93,4,0,0.0,24483.72,24483.72,Wallet,2,Yes,Defective,4.0
ORD10073,2023-11-04,CUST00592,26-35,East,Referral,Desktop,Toys,Doll,1775.76,1,10,177.58,1775.76,1598.18,Credit Card,5,No,,3.2
ORD10074,2023-11-08,CUST00348,26-35,North,Paid Ads,Tablet,Toys,Remote Car,2637.12,4,0,0.0,10548.48,10548.48,Wallet,5,Yes,Not as Described,3.8
ORD10075,2023-08-03,CUST00379,26-35,North,Paid Ads,Mobile,Electronics,Smartphone,39336.69,2,20,15734.68,78673.38,62938.7,COD,8,No,,3.3
ORD10076,2023-11-07,CUST00354,26-35,East,Organic Search,Mobile,Electronics,Smartphone,19428.32,4,25,19428.32,77713.28,58284.96,Net Banking,8,No,,4.2
ORD10077,2023-03-12,CUST00123,18-25,South,Referral,Tablet,Sports,Yoga Mat,515.37,3,5,77.31,1546.11,1468.8,Wallet,5,No,,4.9
ORD10078,2023-01-10,CUST00588,26-35,East,Paid Ads,Tablet,Toys,Remote Car,1030.64,1,20,206.13,1030.64,824.51,Net Banking,8,No,,4.7
ORD10079,2023-08-12,CUST00081,26-35,South,Organic Search,Tablet,Toys,Remote Car,1082.02,1,5,54.1,1082.02,1027.92,Wallet,10,No,,3.2
ORD10080,2023-11-27,CUST00617,18-25,West,Email,Tablet,Electronics,Tablet,35497.6,3,15,15973.92,106492.8,90518.88,COD,3,No,,4.3
ORD10081,2023-11-18,CUST00070,26-35,East,Referral,Mobile,Books,Biography,603.65,5,15,452.74,3018.25,2565.51,UPI,6,No,,4.4
ORD10082,2023-02-09,CUST00568,55+,Central,Direct,Mobile,Books,Comic,111.28,3,10,33.38,333.84,300.46,UPI,2,No,,3.1
ORD10083,2023-02-22,CUST00087,26-35,West,Referral,Tablet,Sports,Cycle,17534.18,1,25,4383.55,17534.18,13150.63,COD,6,No,,4.0
ORD10084,2023-07-29,CUST00343,18-25,Central,Paid Ads,Desktop,Clothing,Saree,3484.53,3,20,2090.72,10453.59,8362.87,Credit Card,6,No,,5.0
ORD10085,2023-03-08,CUST00087,26-35,Central,Organic Search,Tablet,Sports,Cricket Bat,5583.73,3,20,3350.24,16751.19,13400.95,Wallet,10,No,,4.4
ORD10086,2023-04-03,CUST00141,18-25,Central,Direct,Tablet,Books,Biography,449.01,3,10,134.7,1347.03,1212.33,Credit Card,4,No,,4.1
ORD10087,2023-11-02,CUST00186,46-55,West,Organic Search,Desktop,Beauty,Perfume,4443.77,5,0,0.0,22218.85,22218.85,UPI,7,No,,3.5
ORD10088,2023-08-18,CUST00481,46-55,West,Email,Desktop,Beauty,Shampoo,780.23,5,10,390.12,3901.15,3511.03,Net Banking,4,No,,3.5
